Date,AAPL,MSFT,AMZN,GOOGL,META,NVDA,TSLA,JPM,JNJ,V,PG,UNH,HD,MA,BAC,XOM,CVX,KO,PEP,DIS
2018-05-18,44.1286,90.0875,78.7185,53.2888,182.68,6.08621,18.4547,97.1311,109.559,123.989,65.1734,218.795,167.506,185.865,27.2315,63.7906,104.608,36.2951,84.9011,101.07
2018-05-21,44.4429,91.2447,79.273,54.0048,184.49,6.04396,18.966,98.0084,109.088,124.685,65.715,221.731,169.606,186.652,27.4898,64.5589,105.837,36.4947,86.6431,101.2
2018-05-22,44.3328,91.1519,79.07,53.5713,183.8,6.00584,18.334,98.755,108.391,124.734,65.6883,219.272,167.006,187.071,27.7962,64.058,104.929,36.3568,87.0079,101.21
2018-05-23,44.6156,92.2392,80.093,54.1019,186.9,6.12956,18.6047,98.3326,108.833,125.839,65.8235,218.446,166.809,188.407,27.3936,64.4578,105.3,36.4869,87.4618,100.06
2018-05-24,44.5644,91.9089,80.1535,54.0765,185.93,6.13335,18.5233,97.2185,107.793,125.848,65.4575,217.059,167.25,187.36,27.1854,62.9834,103.584,36.4144,87.2284,99.305
2018-05-25,44.6677,91.9557,80.5075,54.0083,184.92,6.17217,18.59,96.7077,107.901,125.272,65.9379,219.08,166.986,186.622,27.1391,61.758,99.9756,36.4869,87.3412,99.394
2018-05-29,44.5033,91.6296,80.6435,53.2106,185.74,6.1552,18.9173,92.5863,106.067,123.776,65.7061,216.575,165.328,185.008,26.0599,61.5305,99.3217,36.7256,88.0294,96.949
2018-05-30,44.4117,92.5086,81.2445,53.6789,187.67,6.26406,19.448,94.6985,107.449,124.675,66.4519,219.07,168.144,187.211,26.5372,63.9472,102.413,37.1133,88.6646,97.231
2018-05-31,44.2608,92.4031,81.481,54.8013,191.78,6.24429,18.982,93.5275,106.244,124.744,64.9257,216.014,167.663,185.596,26.2387,63.7439,101.701,37.0017,88.0931,96.734
2018-06-01,45.0611,94.2236,82.077,56.545,193.99,6.37878,19.4547,94.7359,107.706,124.869,65.1734,217.62,168.379,190.699,26.5628,64.2058,101.32,37.1063,88.0931,96.628
2018-06-04,45.4384,95.0489,83.2635,57.4438,193.28,6.55811,19.7827,94.7791,108.333,126.998,65.8235,218.786,171.981,193.023,26.5628,63.53,100.023,37.4215,87.9794,97.485
2018-06-05,45.7865,95.5453,84.8175,57.3431,192.94,6.5636,19.4087,94.2437,107.91,127.478,65.6361,218.606,172.501,194.627,26.3104,63.3034,100.404,37.0976,88.0558,97.192
2018-06-06,45.947,95.8295,84.7875,57.1404,191.34,6.5656,21.3,96.4552,109.068,130.058,65.9725,222.366,173.973,198.375,27.1421,64.3858,100.95,37.3961,88.5999,99.106
2018-06-07,45.8228,94.3077,84.465,56.5161,188.18,6.50957,21.0727,96.8334,109.559,127.753,67.2274,222.662,176.299,194.797,27.1882,65.0316,103.867,37.3814,88.897,99.65
